url,title,date,content
https://www.isna.ir/news/1404051509496/مانع-تراشی-صهیونیست-ها-در-مسیر-عبور-کامیون-های-حامل-کمک-به-غزه,مانع‌تراشی صهیونیست‌ها در مسیر عبور کامیون‌های حامل کمک به غزه,۱۵ مرداد ۱۴۰۴ / ۱۷:۳۴,به گزارش ایسنا، دولت اردن روز چهارشنبه اعلام کرد که شهرک‌نشینان صهیونیست، مانع عبور کامیون‌های کمک‌های بشردوستانه به غزه شدند. بر اساس بیانیه دولت اردن، این برای دومین بار طی روزهای گذشته است که شهرک‌نشینان مانع عبور کمک‌ها می‌شوند. دولت اردن اعلام کرد رژیم صهیونیستی تدابیر قاطعانه برای جلوگیری از این ناآرامی‌ها را اتخاذ نکرده است. سخنگوی دولت اردن گفت که این کاروان متشکل از ۳۰ کامیون حامل کمک‌های بشردوستانه بود. وی افزود که ورود این کامیون‌ها در پی نقض توافقات امضا شده به تأخیر افتاد؛ امری که نیازمند مداخله جدی رژیم صهیونیستی است. انتهای پیام
https://www.isna.ir/news/1404051509537/%D8%AA%D9%88%DA%86%DB%8C-%D8%A7%D8%B3%D9%86%D9%BE-%D8%A8%DA%A9-%D8%A2%D8%AE%D8%B1%DB%8C%D9%86-%D9%85%DB%8C%D8%AE-%D8%A8%D8%B1-%D8%AA%D8%A7%D8%A8%D9%88%D8%AA-%D8%A8%D8%B1%D8%AC%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA-%D8%A7%D8%B1%D9%88%D9%BE%D8%A7-%D8%A8%D8%A7-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%87%D9%85%DA%A9%D8%A7%D8%B1%DB%8C,توچی: اسنپ‌بک آخرین میخ بر تابوت برجام است/ اروپا با ایران همکاری کند,۱۵ مرداد ۱۴۰۴ / ۱۹:۰۲,"به گزارش ایسنا، «ناتالی توچی» مدیر مؤسسه امور بین‌المللی ایتالیا، استاد موسسه حکمرانی فراملی دانشگاه اروپا و مشاور ویژه «فدریکا موگرینی» مسئول پیشین سیاست خارجی اتحادیه اروپا، با بررسی پیامدهای جنگ اخیر ایران و رژیم صهیونیستی، هشدار داد که رویکرد جدید اروپا در قبال تهران به‌طور جدی از مسیر دیپلماسی فاصله گرفته و خطر بازگشت تحریم‌های سازمان ملل را افزایش داده است. توچی در یادداشتی در وبگاه «ورلد پالیتیک ریویو» نوشت: «جنگ ایران و اسرائیل در ژوئن پایان یافت، اما نتیجه آن یک آرامش کاذب بود. ظاهراً با هدف نابودی ظرفیت‌های هسته‌ای تهران، اسرائیل با حمایت آمریکا به ایران حمله کرد. آمریکا نیز با ادعای کاهش تنش مستقیماً با استفاده از بمب‌های سنگرشکن وارد جنگ شد. در نهایت، آتش‌بسی برقرار شد. آمریکا و اسرائیل با استناد به خسارات واردشده به تأسیسات و توان نظامی ایران، این جنگ را تضعیف‌کننده تهران می‌دانند و معتقدند که ایران اکنون مایل‌تر به بازگشت به میز مذاکره است. اما برخلاف ادعای آمریکا و اسرائیل، ایران این جنگ را نشان‌دهنده تاب‌آوری خود و محدودیت قدرت نظامی اسرائیل می‌داند.» به گفته او، هر ۲ طرف خود را برنده یا دست‌کم بازنده نمی‌دانند، که این می‌تواند به تداوم آتش‌بس کمک کند، اما هم تهران و هم تل‌آویو معتقدند که این آتش‌بس دوام نخواهد داشت و برای دور بعدی درگیری‌ها آماده می‌شوند.   جای خالی اروپا در میدان دیپلماسی در چنین شرایطی، توچی با اشاره به نقش مخرب اروپا علیه ایران و حمایت آن‌ها از جنایات رژیم صهیونیستی علیه ملت و تمامیت ارضی ایران تأکید کرد: «اروپا که هیچ نقش معناداری در جلوگیری، محدود کردن یا پایان جنگ ایفا نکرد، اکنون باید برای پایدار کردن آتش‌بس وارد عمل شود. این یعنی احیای ابتکارهای چندجانبه گذشته و ایجاد کانال‌های جدید برای تعامل با ایران. با این حال، طی ماه گذشته اروپا به‌جای این رویکرد، بر تهدید به بازگرداندن تحریم‌های سازمان ملل متمرکز بوده است؛ اقدامی که می‌تواند آخرین میخ بر تابوت توافق هسته‌ای (برجام) باشد.» او با اشاره به اینکه اتحادیه اروپا معمولاً به‌عنوان «غول اقتصادی و کوتوله ژئوپولیتیک» شناخته می‌شود، نوشت: «پرونده هسته‌ای ایران یک استثنا بود. مذاکرات با ایران در سال ۲۰۰۳ آغاز شد و قالب تروئیکای اروپایی (انگلیس، فرانسه و آلمان) شکل گرفت. یک سال بعد، ""خاویر سولانا"" نخستین مسئول سیاست خارجی اتحادیه اروپا، به این مذاکرات پیوست. سپس این فرمت به پنج به‌علاوه یک، شامل چین، روسیه و آمریکا گسترش یافت. در سال ۲۰۱۵، ""فدریکا موگرینی"" سومین مسئول سیاست خارجی اتحادیه اروپا، موفق به نهایی‌کردن برجام شد.» توچی افزود: «سه هدف اصلی اروپا در آن سال‌ها عبارت بود از: مهار برنامه هسته‌ای ایران، اثبات کارآمدی دیپلماسی چندجانبه و ایجاد پل بازگشت آمریکا به مذاکره پس از یکجانبه‌گرایی دولت ""جورج بوش"". تجربه تاریخی نشان می‌داد که جایگزین نظامی مؤثر نیست؛ همان‌طور که حمله اسرائیل به راکتور اوسیراک عراق در ۱۹۸۱ نه‌تنها برنامه هسته‌ای بغداد را متوقف نکرد، بلکه آن را تسریع کرد.»   تغییر رویکرد اروپا و روی آوردن به سیاست ضدایرانی توچی با بیان ادعای رد شده مبنی بر «همکاری نظامی ایران با روسیه در جنگ اوکراین» در تشریح رویکرد اروپا ادعا کرد: «حمله روسیه به اوکراین در فوریه ۲۰۲۲، نگاه اروپا به خاورمیانه و جهان جنوب را تغییر داد. همکاری نظامی ایران با روسیه باعث شد تهران به‌عنوان یک دشمن بالقوه دیده شود. خروج ایران از مذاکرات احیای برجام و نحوه برخورد این کشور با اعتراضات داخلی خود نیز این نگرش را تقویت کرد. حمله حماس به اسرائیل در اکتبر ۲۰۲۳ نیز موجب شد حمایت اروپا از تل‌آویو بی‌قید و شرط شود.» این ادعا درحالی است که ایران همواره ضمن حمایت از صلح در اوکراین، هرگونه ادعا مبنی بر نقش خود در این جنگ خونین را رد کرده است. از طرفی، توچی درحالی مدعی «خروج ایران» از مذاکرات احیای برجام می‌شود که به اذعان مقامات آمریکایی، این آمریکا و اروپا بودند که در مذاکرات کارشکنی کردند. با این وجود، مشاور موگرینی درباره موضع ضدایرانی قاره سبز نوشت: «در ابتدا، این تغییر به‌صورت انفعال نمود پیدا کرد. هنگامی که ترامپ دوباره رئیس‌جمهور شد و به احیای دیپلماسی با ایران ابراز تمایل کرد، اروپا هیچ تلاشی برای فعال‌سازی دوباره فرمت تروئیکای اروپایی و اتحادیه اروپا نکرد. سپس این انفعال به موضعی تهاجمی تبدیل شد؛ جایی که اروپا نه‌تنها حمله اسرائیل به ایران را محکوم نکرد، بلکه با استناد به ""حق دفاع"" آن را توجیه کرد. این در حالی بود که فرمت تروئیکای اروپایی و اتحادیه اروپا در دوره شکل‌گیری خود، مخالف جنگ‌های پیشگیرانه بود.»   تهدید مکانیسم ماشه و خطر بازگشت تحریم‌ها به گفته توچی، در حالی که جنگ به پایان رسیده، آتش‌بس همچنان بسیار شکننده است. او با اشاره به مذاکرات اخیر تروئیکای اروپایی و اتحادیه اروپا با ایران در استانبول، نوشت: «اروپا به همراه آمریکا تهدید کرده که اگر تا اوت پیشرفتی حاصل نشود، مکانیسم ماشه فعال و تحریم‌های سازمان ملل بازگردانده می‌شود. اگر فرضیه ضعف ایران درست نباشد، این تهدید نتیجه معکوس خواهد داشت و حتی می‌تواند مشروعیت شورای امنیت را تضعیف کند؛ چرا که روسیه، چین و بسیاری از کشورهای جهان جنوب این اقدام را غیرقانونی می‌دانند.» توصیه توچی به اروپا توچی تأکید کرد: «اروپا به‌جای دنبال‌کردن اهداف غیرواقع‌بینانه مانند توقف کامل غنی‌سازی ایران و پیوند زدن موضوع هسته‌ای به برنامه موشکی، باید از نفوذ محدود خود برای تشویق تهران به ازسرگیری همکاری با آژانس بین‌المللی انرژی اتمی، جلوگیری از خروج ایران از معاهده عدم اشاعه تسلیحات هسته‌ای و حمایت از بازگشت مسیر دیپلماسی ایران و آمریکا استفاده کند. شاید این اهداف کوچک‌تر از موفقیت‌های گذشته باشد، اما این کاهش نقش، نتیجه انتخاب‌های خود اروپاست.» انتهای پیام"
https://www.isna.ir/news/1404051509339/%D9%85%D9%82%D8%A7%D9%85-%D8%B3%D8%A7%D8%A8%D9%82-%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%DB%8C%DB%8C-%D9%BE%D9%86%D8%AA%D8%A7%DA%AF%D9%88%D9%86-%D9%85%DB%8C-%D8%AA%D9%88%D8%A7%D9%86%D8%AF-%D8%A8%D8%A7-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%87%D8%B3%D8%AA%D9%87-%D8%A7%DB%8C-%DA%A9%D9%86%D8%A7%D8%B1-%D8%A8%DB%8C%D8%A7%DB%8C%D8%AF,مقام سابق آمریکایی:‌ پنتاگون می‌تواند با ایران هسته‌ای کنار بیاید,۱۵ مرداد ۱۴۰۴ / ۱۳:۲۱,به گزارش ایسنا، «رابرت جوزف» معاون پیشین وزیر امور خارجه آمریکا در امور کنترل تسلیحات و امنیت بین‌الملل اعلام کرد که احتمال کنار آمدن ایالات متحده با داشتن تسلیحات هسته‌ای از سوی کره شمالی را رد نمی‌کند. او این اظهارات را در جریان یک سمینار آنلاین که توسط بنیاد «واشنگتن تایمز» برگزار شد، مطرح کرد؛ نشستی که در شرایطی انجام شد که کره شمالی هرگونه گفت‌وگو با واشنگتن درباره خلع سلاح هسته‌ای را رد کرده است. رابرت جوزف در این نشست گفت: «فکر می‌کنم این احتمال وجود دارد — نمی‌دانم چقدر کم است — اما احتمال اینکه ایالات متحده تسلیم شود وجود دارد. اینکه ما بگوییم می‌توانیم با یک کره شمالیِ هسته‌ای زندگی کنیم، حتی اگر ۲۰۰ یا حتی ۴۰۰ کلاهک داشته باشد.» جوزف با اشاره به اینکه کره شمالی هیچ نشانه‌ای از تمایل به توقف برنامه هسته‌ای خود نشان نداده، گفت: «ما ۱۰ برابر این تعداد را داریم. می‌توانیم بازدارندگی داشته باشیم. البته تا به حال ندیدم که این موضوع به‌طور علنی مطرح شده باشد.» او همچنین در اشاره‌ای به مسئله هسته‌ای ایران گفت برخی افراد که وارد پنتاگون شده‌اند، دیدگاه‌هایی دارند مبنی بر اینکه آمریکا می‌تواند با یک ایرانِ هسته‌ای نیز کنار بیاید. در همین حال، کیم یو-جونگ، خواهر بانفوذ کیم جونگ-اون رهبر کره شمالی، اخیراً بار دیگر تأکید کرده است که پیونگ‌یانگ احتمال مذاکره درباره خلع سلاح هسته‌ای را رد می‌کند. با این حال، او ظاهراً راه را برای دیپلماسی با واشنگتن نبسته و گفته است که رابطه شخصی «دونالد ترامپ» رئیس‌جمهور آمریکا با کیم «بد نیست.» اظهارات او پس از آن بیان شد که یک مقام کاخ سفید در گفت‌وگو با خبرگزاری یونهاپ اعلام کرد ترامپ همچنان برای گفت‌وگو با هدف دستیابی به «خلع سلاح کامل» کره شمالی آمادگی دارد. در تعاملات دیپلماتیک اخیر، سئول و واشنگتن بار دیگر بر تعهد «قاطع» خود به «خلع سلاح کامل هسته‌ای» کره شمالی تأکید کرده‌اند. انتهای پیام
https://www.isna.ir/news/1404051509578/%D9%85%D9%88%D9%84%D8%B1-%D8%A8%D9%87-%D9%88%D9%86%DA%A9%D9%88%D9%88%D8%B1-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA,مولر به ونکوور پیوست,۱۵ مرداد ۱۴۰۴ / ۲۱:۲۶,به گزارش ایسنا، توماس مولر یکی از اسطوره های بایرن به شمار می آید که سال ها با پیراهن این تیم درخشید و افتخار کسب کرد. توماس مولر به دوران حضورش در بایرن‌مونیخ پایان داد و تصمیم گرفت که راهی لیگ آمریکا شود. مولر ونکوور را به عنوان مقصد بعدی خود انتخاب کرد و رسما به این تیم پیوست. مولر ۲۵ سال برای بایرن مونیخ بازی کرد.او در  ۷۵۶ بازی، آمار ۲۵۰ گل و ۲۷۶ پاس گل را به ثبت رساند. انتهای پیام
https://www.isna.ir/news/1404051509184/%D8%AF%D8%B1-%D9%85%DB%8C%D8%A7%D9%86%D9%87-%D8%AA%D9%86%D8%B4-%D9%87%D8%A7%DB%8C-%D8%AF%D8%A7%D8%AE%D9%84%DB%8C-%D8%AA%D9%84-%D8%A2%D9%88%DB%8C%D9%88-%D8%AA%D8%B5%D9%85%DB%8C%D9%85-%D8%A7%D8%B4%D8%BA%D8%A7%D9%84-%D8%BA%D8%B2%D9%87-%D8%B1%D8%A7-%D8%A8%D8%B1%D8%B1%D8%B3%DB%8C-%D9%85%DB%8C-%DA%A9%D9%86%D8%AF,در میانه تنش‌های داخلی، تل‌آویو تصمیم اشغال غزه را بررسی می‌کند,۱۵ مرداد ۱۴۰۴ / ۰۹:۵۳,به گزارش ایسنا، کانال ۱۲ تلویزیون رژیم صهیونیستی گزارش داد تصمیم اشغال نوار غزه در جلسه فردا پنجشنبه در کابینه کوچک (کابینه امنیتی) بررسی خواهد شد. این اقدام بعد از آن صورت می‌گیرد که «بنیامین نتانیاهو» نخست وزیر رژیم صهیونیستی مذاکرات امنیتی گسترده‌ای را در دفترش درباره آینده عملیات نظامی در برگزار کرد. شبکه کان به نقل از یک منبع آگاه از جزئیات این جلسه اعلام کرد که نتانیاهو قصد اشغال نوار غزه را دارد. این تصمیم ابتدا در کابینه کوچک و سپس در کابینه اصلی برای اتخاذ تصمیم نهایی بررسی خواهد شد. دفتر بنیامین نتانیاهو اعلام کرد ارتش رژیم صهیونیستی آماده اجرای هرگونه تصمیمی است که کابینه امنیتی درباره غزه بگیرد. این در حالی است که اختلافات بین نتانیاهو و «ایال زامیر» رئیس ستاد ارتش رژیم صهیونیستی طی مذاکرات امنیتی روز سه‌شنبه بالا گرفت. زامیر به نتانیاهو نسبت به افتادن در دام نوار غزه هشدار داد و مخالفت خود را با اشغال نوار غزه اعلام کرد اما در عین حال تاکید کرد که ارتش به هرگونه اقدامی که مسئولان سیاسی اتخاذ کنند پایبند خواهد بود. از سوی دیگر قرار است بنیامین نتانیاهو امروز چهارشنبه با «یائیر لاپید» رهبر اپوزیسیون رژیم صهیونیستی برای کسب حمایت از تصمیم جنجالی خود درباره غزه دیدار کند. به رغم اینکه مخالفان رژیم صهیونیستی تاکید کرده‌اند نتانیاهو با شکست مواجه شده اما به نظر می‌رسد که نتانیاهو برای حمایت مخالفان جهت اشغال غزه تلاش می‌کند. این در حالی است که «یائیر لاپید» سه‌شنبه حمایت خود را از مخالفت زامیر با اشغال کامل نوار غزه اعلام کرد و انتقاد و حمله به زامیر را اقدامی بزدلانه خواند که به ارتش آسیب می‌زند. انتهای پیام
https://www.isna.ir/news/1404051509414/افزایش-آمار-شهدا-و-مجروحان-جنگ-غزه,افزایش آمار شهدا و مجروحان جنگ غزه,۱۵ مرداد ۱۴۰۴ / ۱۴:۵۷,به گزارش ایسنا، وزارت بهداشت غزه اعلام کرد: ظرف ۲۴ ساعت گذشته در حملات رژیم صهیونیستی ۱۳۸ نفر شهید و ۷۷۱ نفر زخمی شدند. طبق گزارش الجزیره، این وزارتخانه افزود: ظرف ۲۴ ساعت گذشته در پی تیراندازی به افرادی که منتظر کمک‌های بشردوستانه بودند ۸۷ نفر شهید و ۵۷۰ نفر زخمی شدند. این وزارتخانه تاکید کرد: تعداد قربانیان عملیات رژیم صهیونیستی از هفت اکتبر ۲۰۲۳ تاکنون به ۶۱ هزار و ۱۵۸ شهید و ۱۵۱ هزار و ۴۴۲ زخمی رسید. از سوی دیگر مدیر کل وزارت بهداشت غزه به الجزیره گفت: وضعیت نوار غزه هر روز بدتر می‌شود و این منطقه به یک منطقه مناسب برای شیوع بیماری‌ها تبدیل شده است. ۴۵ مورد ابتلا به سندرم گیلن باره ثبت شده است. وی گفت: موارد زیادی از مسمومیت در نوار غزه به دلیل آلودگی آب و غذا گزارش شده است. رژیم اشغالگر ساکنان نوار غزه را با بمباران، گرسنگی و تمام ابزارهای ممکن می‌کشد. پرتاب هوایی کمک‌ها یک امر شرم آور است. کسانی هستند که به دلیل این مسئله جان خود را از دست داده‌اند. همچنین مدیر مجتمع پزشکی الشفا اعلام کرد: فشار بر بیمارستان‌های نوار غزه بسیار زیاد است. به دلیل عدم گنجایش بیمارستان‌ها احتمالا برخی از مجروحان را از دست بدهیم. میزان ازدحام در بیمارستان‌ها از ۳۰۰ درصد عبور کرده است. مواد بیهوشی ظرف ۴۸ ساعت در نوار غزه تمام خواهد شد. وی گفت: ما ذخیره کافی از واحدهای خون نداریم. ظرف پنج روز ۵۵۰ نفر در نوار غزه شهید و هزاران نفر زخمی شده‌اند. انتهای پیام
https://www.isna.ir/news/1404051509457/حزب-الله-دولت-اشتباه-بزرگی-کرد-حفظ-سلاح-مقاومت-ضروری-است,حزب‌الله: دولت اشتباه بزرگی کرد؛ حفظ سلاح مقاومت، ضروری است,۱۵ مرداد ۱۴۰۴ / ۱۶:۰۱,به گزارش ایسنا، حزب‌الله لبنان در بیانیه‌ای اعلام کرد: دولت نواف سلام، نخست وزیر لبنان در اتخاذ تصمیمی برای خلع لبنان از سلاح مقاومت در برابر دشمن اسرائیلی مرتکب اشتباه بزرگی شد چرا که این مسئله منجر به تضعیف قدرت لبنان و موضع آن در برابر ادامه تجاوز اسرائیل و آمریکا می‌شود و آنچه را که اسرائیل نتوانست در تجاوز خود علیه لبنان به دست آورد برای آن محقق می‌کند. ما با نبردی با اسرائیل مواجه شدیم که منجر به توافقی برای ملزم کردن اسرائیل به توقف تجاوز خود و عقب نشینی از لبنان شد. در بیانیه حزب الله آمده است: این تصمیم نقض واضح و مخالفت با بیانیه وزارتی دولت است که در بند پنجم آن این متن آمده است که دولت بر اساس منشور وفاق ملی در توافق‌نامه طائف ملزم به اتخاذ اقدامات لازم برای آزادی تمام اراضی لبنان از اشغالگری اسرائیل و گسترش حاکمیت بر تمام خاک خود و استقرار ارتش لبنان در منطقه مرزی است. حفظ قدرت لبنان و سلاح مقاومت در راستای قدرت لبنان و جزو اقدامات لازم است. تلاش برای افزایش قدرت لبنان با مسلح کردن ارتش و تقویت آن برای بیرون راندن دشمن اسرائیلی از خاک لبنان از جمله اقدامات لازم است. در بیانیه حزب الله لبنان آمده است: این تصمیم نتیجه دیکته‌های تام باراک، فرستاده آمریکاست. این تصمیم کاملا منفعت اسرائیل را محقق می‌کند و لبنان را در برابر دشمن اسرائیلی بدون هیچ بازدارندگی قرار می‌دهد. در این بیانیه تاکید شده است: خروج وزرای حزب‌الله و جنبش أمل از جلسه بیانگر مخالفت با این تصمیم و مخالفت مقاومت و مخالفت مردمی گسترده با تصمیم تسلیم شدن لبنان در برابر قیمومیت آمریکا و اشغالگری اسرائیل است. این اقدام حاکمیت لبنان را از بین می‌برد و دست اسرائیل را برای بازی کردن با امنیت، سرزمین، سیاست و آینده لبنان باز می‌گذارد. در بیانیه حزب الله لبنان آمده است: ما مایل به مذاکره و پایان تجاوز اسرائیل علیه لبنان و آزادسازی سرزمین خود و آزادی اسرا و تلاش برای بازسازی و آماده بررسی استراتژی امنیت ملی هستیم. ابتدا باید توافق توسط اسرائیل اجرا شود و دولت باید به عنوان اولویت اقدامات لازم برای آزادسازی تمام خاک لبنان از اشغالگری اسرائیل را اتخاذ کند. روز سه‌شنبه «نواف سلام» نخست‌وزیر لبنان تاکید کرد که ارتش مکلف به وضع طرحی برای انحصار سلاح تا پیش از پایان سال جاری شده است. نخست وزیر لبنان پس از پایان جلسه دولت گفت که بررسی پیشنهاد آمریکا روز پنجشنبه تکمیل می‌شود. وی افزود که ارتش مکلف شده، طرحی اجرایی برای انحصار سلاح تا پیش از پایان سال جاری وضع کند. نخست وزیر لبنان تصریح کرد که ارتش مکلف شده طرح وضع شده تا پیش از ۳۱ اوت به دولت ارائه دهد. انتهای پیام
https://www.isna.ir/news/1404051509455/گزارش-بلومبرگ-از-اقدام-دولت-لبنان-علیه-حزب-الله,گزارش بلومبرگ از اقدام دولت لبنان علیه حزب‌الله,۱۵ مرداد ۱۴۰۴ / ۱۵:۵۹,به گزارش ایسنا، دولت لبنان به ارتش این کشور ماموریت داده تا یک برنامه اقدام برای تحت کنترل درآوردن تمام سلاح‌ها در این کشور جنگ‌زده تا پایان سال تنظیم کند. این اقدام ممکن است تنش‌ها میان مقامات و حزب‌الله لبنان را تشدید کند.  خبرگزاری بلومبرگ با انتشار این مطلب گزارش داد: دولت «نواف سلام» نخست‌وزیر لبنان که پس از توافق آتش‌بسی تشکیل شد که به جنگ دو ماهه اسرائیل و حزب‌الله پایان داد، قصد دارد اصلاحات لازم برای غلبه بر بحران مالی مزمن را انجام دهد. رسانه آمریکایی نوشته خلع سلاح حزب‌الله لبنان که به ادعای آن «در جریان تهاجم اسرائیل در اواخر ۲۰۲۴ به شدت تضعیف شده‌ است»، گامی کلیدی برای نزدیک شدن به خواسته‌های آمریکا و رژیم صهیونیستی محسوب می‌شود اما حزب‌الله با آن مخالف است.  خبرگزاری دولتی ان‌ان‌ای گزارش داد که نواف سلام روز سه‌شنبه(دیروز) اعلام کرد که ارتش لبنان باید طرح پیشنهادی را تا پایان اوت به دولت ارائه دهد. او افزود که این اقدام پس از بررسی پیشنهادهای آمریکا انجام شده است و هیات دولت روز پنجشنبه(فردا) بیشتر درباره آن بحث خواهد کرد. اگرچه، شیخ «نعیم قاسم» دبیرکل حزب‌الله اعلام کرد این جنبش از قدرت نظامی خود دست نخواهد کشید. او سه‌شنبه در یک سخنرانی تلویزیونی گفت: ما نمی‌توانیم به هیچ برنامه زمانی تحت تجاوز اسرائیل تن دهیم. نمی‌توانیم بپذیریم لبنان به تدریج از قدرت خود چشم بپوشد در حالی که تمام برگ‌های برنده در دست دشمن صهیونیستی باقی است.  ارتش رژیم صهیونیستی به‌رغم توافق آتش‌بس، به حملات خود به مواضع حزب‌الله، به ویژه در جنوب لبنان ادامه داده است. شیخ نعیم قاسم هشدار داد که هرگونه تهاجم گسترده رژیم صهیونیستی با واکنش حزب‌الله و پرتاب موشک به سوی این رژیم روبرو خواهد شد.  بر اساس گزارش بانک جهانی، جنگ سال گذشته بحران اقتصادی لبنان را تشدید کرد و حدود ۱۴ میلیارد دلار خسارت به بار آورد. دولت لبنان امیدوار است به توافقی با صندوق بین‌المللی پول برای تضمین یک بسته مالی دست یابد. انتهای پیام
https://www.isna.ir/news/1404051509496/%D9%85%D8%A7%D9%86%D8%B9-%D8%AA%D8%B1%D8%A7%D8%B4%DB%8C-%D8%B5%D9%87%DB%8C%D9%88%D9%86%DB%8C%D8%B3%D8%AA-%D9%87%D8%A7-%D8%AF%D8%B1-%D9%85%D8%B3%DB%8C%D8%B1-%D8%B9%D8%A8%D9%88%D8%B1-%DA%A9%D8%A7%D9%85%DB%8C%D9%88%D9%86-%D9%87%D8%A7%DB%8C-%D8%AD%D8%A7%D9%85%D9%84-%DA%A9%D9%85%DA%A9-%D8%A8%D9%87-%D8%BA%D8%B2%D9%87,مانع‌تراشی صهیونیست‌ها در مسیر عبور کامیون‌های حامل کمک به غزه,۱۵ مرداد ۱۴۰۴ / ۱۷:۳۴,به گزارش ایسنا، دولت اردن روز چهارشنبه اعلام کرد که شهرک‌نشینان صهیونیست، مانع عبور کامیون‌های کمک‌های بشردوستانه به غزه شدند. بر اساس بیانیه دولت اردن، این برای دومین بار طی روزهای گذشته است که شهرک‌نشینان مانع عبور کمک‌ها می‌شوند. دولت اردن اعلام کرد رژیم صهیونیستی تدابیر قاطعانه برای جلوگیری از این ناآرامی‌ها را اتخاذ نکرده است. سخنگوی دولت اردن گفت که این کاروان متشکل از ۳۰ کامیون حامل کمک‌های بشردوستانه بود. وی افزود که ورود این کامیون‌ها در پی نقض توافقات امضا شده به تأخیر افتاد؛ امری که نیازمند مداخله جدی رژیم صهیونیستی است. انتهای پیام
https://www.isna.ir/news/1404051509549/%D8%AF%D9%88-%D9%88%D8%B2%DB%8C%D8%B1-%D8%BA%D9%86%D8%A7-%D8%AF%D8%B1-%D8%B3%D8%A7%D9%86%D8%AD%D9%87-%D8%B3%D9%82%D9%88%D8%B7-%D8%A8%D8%A7%D9%84%DA%AF%D8%B1%D8%AF-%D8%AC%D8%A7%D9%86-%D8%A8%D8%A7%D8%AE%D8%AA%D9%86%D8%AF,دو وزیر غنا در سانحه سقوط بالگرد جان باختند,۱۵ مرداد ۱۴۰۴ / ۱۹:۴۰,به گزارش ایسنا، در خبر دفتر ریاست جمهوری غنا آمده که برخی مقامات ارشد دیگر این کشور نیز در بالگرد حضور داشتند اما وضعیت فعلی آن‌ها هنوز مشخص نیست. علت سقوط نیز همچنان نامعلوم است. انتهای پیام
